Date,StoreID,ProductID,Category,Quantity,UnitPrice,CustomerSegment,TotalSales
2022-05-10,2,1262,Clothing,4,102.49,New,409.96
2023-07-18,5,1019,Clothing,2,45.42,Regular,90.84
2023-02-04,18,1342,Clothing,3,176.26,New,528.78
2022-12-31,3,1371,Food,7,158.77,VIP,1111.39
2024-06-26,27,1171,Electronics,2,65.12,VIP,130.24
2025-12-09,17,1379,Books,1,14.63,Regular,14.63
2021-04-11,16,1392,Food,2,15.11,Regular,30.22
2023-05-23,6,1197,Food,8,62.94,Regular,503.52
2020-11-26,7,1436,Books,8,33.76,New,270.08
2024-01-22,50,1073,Books,2,175.3,Regular,350.6
2025-11-05,14,1303,Electronics,6,87.05,Regular,522.3
2020-05-10,38,1085,Electronics,7,72.87,VIP,510.09000000000003
2024-08-12,40,1284,Food,1,47.49,Regular,47.49
2022-02-08,15,1302,Books,7,169.03,Regular,1183.21
2024-02-24,47,1132,Food,8,159.53,Regular,1276.24
2023-04-30,47,1120,Clothing,9,79.94,Regular,719.46
2022-08-13,48,1216,Food,8,38.02,New,304.16
2023-03-30,33,1136,Electronics,3,190.64,VIP,571.92
2021-04-04,43,1116,Books,8,66.59,Regular,532.72
2020-01-22,27,1061,Clothing,3,155.36,New,466.08000000000004
2022-01-17,29,1017,Books,6,95.29,Regular,571.74
2021-04-19,37,1034,Clothing,4,157.42,Regular,629.68
2022-12-18,5,1020,Books,7,98.91,New,692.37
2025-08-09,29,1208,Clothing,8,185.48,Regular,1483.84
2022-09-02,32,1458,Food,6,161.08,VIP,966.48
2024-12-11,6,1162,Books,4,55.76,Regular,223.04
2020-07-08,2,1299,Food,8,88.92,Regular,711.36
2021-07-16,6,1010,Food,7,24.62,Regular,172.34
2025-03-14,46,1094,Electronics,8,181.18,Regular,1449.44
2023-06-21,43,1414,Clothing,7,18.51,New,129.57000000000002
2024-03-08,4,1371,Books,3,8.56,VIP,25.68
2021-10-08,29,1409,Electronics,3,101.8,Regular,305.4
2025-08-30,25,1383,Food,9,122.61,Regular,1103.49
2023-07-21,9,1441,Food,7,48.53,Regular,339.71000000000004
2021-08-23,3,1366,Electronics,1,116.26,Regular,116.26
2025-08-23,26,1447,Electronics,3,179.63,Regular,538.89
2020-08-29,48,1107,Clothing,1,127.09,New,127.09
2025-08-03,43,1105,Electronics,6,93.87,Regular,563.22
2023-09-25,27,1071,Books,2,33.16,Regular,66.32
2025-11-09,36,1431,Food,7,37.94,Regular,265.58
2023-10-22,32,1084,Clothing,8,99.45,VIP,795.6
2024-01-18,1,1209,Electronics,6,95.31,Regular,571.86
